"brainregion","disease","count"
"Corpus striatum structure","Compulsive Personality Disorder","1"
"Pontine structure","Virus Diseases","1"
"Structure of nucleus gracilis","Familial Atypical Mole Melanoma Syndrome","1"
"Brain Gray Matter","Huntington Disease","1"
"Telencephalon","Autism Spectrum Disorders","1"
"Structure of hippocampal fissure","Depressive disorder","1"
"CA3 field","Stress Disorders, Traumatic, Acute","1"
"Internal arcuate tract","Prune Belly Syndrome","1"
"Cerebral cortex","Cumulative Trauma Disorders","1"
"Internal capsule of brain","Williams Syndrome","1"
"Hindbrain","Motor Neuron Disease","1"
"Tectum Mesencephali","Schinzel-Giedion syndrome","1"
"Auditory association cortex","cortex bone disorders","1"
"Cerebellar vermis structure","Disorder nervous system","1"
"Structure of suprachiasmatic nucleus","Lung diseases","1"
"Pituitary Gland","Irritable Bowel Syndrome","1"
"Nucleus Basalis Magnocellularis","Neonatal maladjustment syndrome","1"
"Motor Cortex","Major Depressive Disorder","1"
"Purkinje Cells","Drug withdrawal syndrome","1"
"Reticular Formation","Disorder of pineal gland","1"
"Parietal Lobe","Neurodegenerative Disorders","1"
"Structure of limitans nucleus","Neurotoxicity Syndromes","1"
"Midbrain structure","Prune Belly Syndrome","1"
"Medial reticular nucleus","Alzheimer's Disease","1"
"Entire insula","cortex bone disorders","1"
"Structure of central sulcus","Ataxia as late effect of cerebrovascular disease","1"
"Nucleus, Principal Pretectal","Parkinson Disease","1"
"Olfactory Cortex","Depressive disorder","1"
"Olfactory Pathways","Disorder of olfactory system","1"
"Cerebral hemisphere structure (body structure)","Feline urological syndrome","1"
"Paratenial Nucleus","Pervasive Development Disorder","1"
"Brain White Matter","Post-Traumatic Stress Disorder","1"
"Parietal Lobe","Dystonia Disorders","1"
"Ventral Tegmental Area","Alcohol use disorder","1"
"Right globus pallidus","cortex bone disorders","1"
"Cerebral lobe","Shprintzen syndrome","1"
"Habenula","Renal glomerular disease","1"
"Prefrontal Cortex","Dyskinetic syndrome","1"
"Entire medulla oblongata","MERRF Syndrome","1"
"Medial Septal Nucleus","Mastitis-metritis-agalactia syndrome","1"
"Structure of cingulum","Major Depressive Disorder","1"
"central amygdalar nucleus","Conjunctival Diseases","1"
"Structure of nucleus infundibularis hypothalami","Stomach Diseases","1"
"Pituitary Gland","Allergic rhinitis NOS (disorder)","1"
"Structure of paraventricular nucleus of thalamus","Recurrent disease","1"
"Medulla Oblongata","Finnish congenital nephrotic syndrome","1"
"Temporal Lobe","Chronic Fatigue Syndrome","1"
"Medulla Oblongata","Milroy Disease","1"
"Posterior cerebral commissure","neuropathology disease","1"
"Basal Nucleus of Meynert","Lung diseases","1"
"Temporal Lobe","Developmental Coordination Disorder","1"
"Preoptic Areas","Disease Progression","1"
"Brodmann area 6","cortex bone disorders","1"
"Anterodorsal nucleus of thalamus","Kartagener Syndrome","1"
"Tentorium cerebelli","Meningeal disorder","1"
"Corpus striatum structure","Andersen Syndrome","1"
"Motor Cortex","Mohr-Tranebjaerg syndrome","1"
"Ventral Tegmental Area","Shared Paranoid Disorder","1"
"Neostriatum","Mild cognitive disorder","1"
"Structure of forceps minor","Gilles de la Tourette syndrome","1"
"Somatosensory Cortex","Stereotypic Movement Disorder","1"
"External capsule","Mild cognitive disorder","1"
"Inferior Colliculus","Thyroid Diseases","1"
"Structure of locus ceruleus","Niemann-Pick Disease, Type C","1"
"Interpeduncular nucleus","Stiff-Person Syndrome","1"
"Purkinje Cells","Autoimmune Diseases","1"
"Medial superior olivary nucleus","cortex bone disorders","1"
"Structure of supramammillary nucleus","Myeloproliferative Syndrome, Transient","1"
"Structure of lateral globus pallidus","Movement Disorders","1"
"Structure of dentate gyrus","Leigh Disease","1"
"Brain Stem","Sleep Disorders","1"
"Cerebellar white matter","Bipolar Disorder","1"
"Structure of thalamic reticular nucleus","Retinal Diseases","1"
"Brodmann area 9","Major Depressive Disorder","1"
"Central gray substance of midbrain","Anxiety Disorders","1"
"Anterior insula","Lewy Body Disease","1"
"Genus Hippocampus","Shared Paranoid Disorder","1"
"CA1 field","Lewy Body Disease","1"
"Occipital lobe","Stiff-Person Syndrome","1"
"Structure of commissure of inferior colliculus","Attention deficit hyperactivity disorder","1"
"BRAIN, HIPPOCAMPUS","Respiratory Distress Syndrome, Adult","1"
"Brodmann area 18","Retinal Diseases","1"
"Entire substantia nigra","Hamartoma Syndrome, Multiple","1"
"Medial Dorsal Nucleus","Degenerative brain disorder","1"
"Structure of dentate gyrus","Melkersson-Rosenthal Syndrome","1"
"Mammillary body structure","Bipolar I disorder","1"
"Parietal Lobe","Neurotoxicity Syndromes","1"
"Inferior Colliculus","Pigment dispersion syndrome (disorder)","1"
"Pedunculopontine Tegmental Nucleus","Disorder nervous system","1"
"Paracentral Thalamic Nucleus","Acute Disease","1"
"Habenula","Neurodegenerative Disorders","1"
"Olfactory Cortex","Huntington Disease","1"
"Lateral occipitotemporal gyrus","Spinal Cord Diseases","1"
"Pyramidal Cells","Attention Deficit Disorder","1"
"Midbrain structure","Vasodilation disorder","1"
"Prosencephalon","Aicardi's syndrome","1"
"Left frontal lobe structure","Bone Diseases","1"
"Area striata structure","Lennox-Gastaut syndrome","1"
"Orbitofrontal cortex","Fetal Alcohol Syndrome","1"
"Parolfactory area structure (body structure)","Hereditary Diseases","1"
"BRAIN, HIPPOCAMPUS","Conduct Disorder","1"
"Entire medulla oblongata","Carpal Tunnel Syndrome","1"
"Triangular Septal Nucleus","Alzheimer's Disease","1"
"Superior colliculus of corpora quadrigemina","Renal glomerular disease","1"
"Substantia Nigra Pars Reticulata","Functional disorder","1"
"Pars Compacta","Sleep Disorders","1"
"Lobe, Frontal","Rabies (disorder)","1"
"Pituitary Gland","Hypertrophic disorder of skin, unspecified","1"
"Cerebellar gracile lobule","Nose Diseases","1"
"CA1 field","Congenital secretory diarrhea, sodium type (disorder)","1"
"Pituitary Gland","Parkinsonian Disorders","1"
"Medulla Oblongata","Menkes Kinky Hair Syndrome","1"
"Anterior insula","Functional disorder","1"
"Corpus striatum structure","Herpes zoster disease","1"
"Intralaminar Nuclear Group","Chronic Fatigue Syndrome","1"
"Entire substantia nigra","Movement Disorders","1"
"Periamygdaloid Area","Spinal Cord Diseases","1"
"Anterodorsal nucleus of thalamus","Inflammatory disorder","1"
"Structure of choroid plexus","Pituitary Diseases","1"
"Lateral olfactory striae","Depressive disorder","1"
"Structure of paraventricular nucleus","Binge eating disorder","1"
"Nucleus Basalis Magnocellularis","Hodgkin Disease","1"
"Structure of supraoptic nucleus","Norrie disease","1"
"Structure of posterior hypothalamic nucleus","Herpes zoster disease","1"
"Periamygdaloid Area","Retinal Diseases","1"
"Cerebellar Nuclei","Esophageal Diseases","1"
"Entire dorsal spinocerebellar tract","Spinal Cord Diseases","1"
"Layer of cerebellum","Migraine Disorders","1"
"Pyramidal Cells","Post-Traumatic Stress Disorder","1"
"Pineal gland","Cockayne Syndrome, Type I","1"
"Nuclei, Raphe","Renal glomerular disease","1"
"Brodmann area 21","Pervasive Development Disorder","1"
"Structure of middle temporal gyrus","Pick Disease of the Brain","1"
"Brain White Matter","DISORDERS OF THE OPTIC NERVE","1"
"CA1 field","Attention Deficit Disorder","1"
"Insula of Reil","Menkes Kinky Hair Syndrome","1"
"Anterodorsal nucleus of thalamus","Sleep Disorders","1"
"Trigeminal Caudal Nucleus","Migraine Disorders","1"
"CA1 field","Nose Diseases","1"
"Visual Cortex","Adult Fanconi syndrome","1"
"Superior colliculus of corpora quadrigemina","Herpes zoster disease","1"
"Insula of Reil","Complex Regional Pain Syndromes","1"
"Posterior cerebral commissure","Shy-Drager Syndrome","1"
"Brain Gray Matter","Alzheimer's Disease","1"
"Entire lateral geniculate body","Disorders, Mental","1"
"Structure of supramammillary nucleus","Peripheral Arterial Diseases","1"
"Temporal Lobe","Asperger Syndrome","1"
"Caudal pontine reticular nucleus","cortex bone disorders","1"
"Cerebrum","Neurodevelopmental disorder","1"
"Left frontal lobe structure","Alzheimer's Disease","1"
"Cerebral hemisphere structure (body structure)","Drug withdrawal syndrome","1"
"Area, Septal","Skin endocrine disorder","1"
"Brain White Matter","Lung diseases","1"
"Posterior Hypothalamic Region","Neurodevelopmental disorder","1"
"Structure of anterior hypothalamic nucleus","Pituitary Diseases","1"
"CA2 field","Ataxia as late effect of cerebrovascular disease","1"
"Cerebellar hemisphere structure","New Variant Creutzfeldt-Jakob Disease","1"
"Structure of subcommissural organ","Anophthalmia Waardenburg syndrome","1"
"Brain Stem","Maple Syrup Urine Disease","1"
"Genus Hippocampus","Amnestic disorder","1"
"Caudate nucleus structure","Conduct Disorder","1"
"Brain Stem","Pelizaeus-Merzbacher Disease","1"
"Tectospinal tract of medulla","Dystonia Disorders","1"
"Trigeminal Caudal Nucleus","Peripheral Arterial Diseases","1"
"Basal Nucleus of Meynert","Liver diseases","1"
"Edinger Westphal nucleus","Depressive disorder","1"
"Structure of thalamic fasciculus","Van der Woude syndrome","1"
"Auditory Hair Cell","Neurodegenerative Disorders","1"
"Central Dorsal Nucleus","Hypertensive disease","1"
"Vestibular membrane","Diseases of inner ear","1"
"Nucleus, Anterior Olfactory","Spinal Cord Diseases","1"
"Nucleus Accumbens","Anxiety Disorders","1"
"Amygdaloid Nucleus, Cortical","Autistic Disorder","1"
"Telencephalon","Cerebellar Diseases","1"
"Organum Vasculosum Laminae Terminalis","Retinal Diseases","1"
"Structure of supramammillary nucleus","Temporomandibular Joint Dysfunction Syndrome","1"
"Substantia nigra structure","Acquired Immunodeficiency Syndrome","1"
"CA1 field","Macrophage Activation Syndrome","1"
"Gyrus Cinguli","Myeloproliferative Syndrome, Transient","1"
"CA1 field","Denys-Drash Syndrome","1"
"Nucleus, Medial Oculomotor","Tay-Sachs Disease","1"
"Cochlear nucleus structure","Van der Woude syndrome","1"
"Lobe, Frontal","Stiff-Person Syndrome","1"
"Cerebellar cortex structure","Prune Belly Syndrome","1"
"Brodmann area 35","Recurrent disease","1"
"Ventral Tegmental Area","Acute infectious disease","1"
"Nucleus solitarius","Renal vascular disorder","1"
"Lobe, Frontal","Coronary Artery Disease","1"
"Bundle, Predorsal","Acute infectious disease","1"
"Limbic System","Disorder nervous system","1"
"Cerebrum","Shwachman syndrome","1"
"lateral amygdalar nucleus","Alzheimer's Disease","1"
"Paracentral Thalamic Nucleus","Conjunctival Diseases","1"
"Central insular sulcus","Prader-Willi Syndrome","1"
"Dentatothalamic tract","Neurotoxicity Syndromes","1"
"Geniculate body structure","DISORDERS OF THE OPTIC NERVE","1"
"Tectospinal tract of medulla","Sandhoff Disease","1"
"Genus Hippocampus","Tay-Sachs Disease","1"
"Brain Stem","Disease due to Parvoviridae","1"
"Cortex, Primary Motor","Degenerative disorder","1"
"Laterodorsal tegmental nucleus","Herpes zoster disease","1"
"Structure of olfactory bulb","Brain Diseases","1"
"Structure of olfactory bulb","Uterine Diseases","1"
"Entire nucleus of anterior nuclear group of thalamus","Stereotypic Movement Disorder","1"
"Cochlear duct","Sensorineural hearing loss (disorder)","1"
"Gonadotrophs","Hereditary Diseases","1"
"Purkinje Cells","Cognition Disorders","1"
"Pyramidal Tracts","Dyskinetic syndrome","1"
"Structure of anterior commissure","Brain Diseases","1"
"Pineal gland","Sensitization (disorder)","1"
"Structure of thalamic reticular nucleus","Stress Disorders, Traumatic","1"
"Structure of mammillotegmental tract of hypothalamus","Seasonal Affective Disorder","1"
"Structure of anterior commissure","Virus Diseases","1"
"Lateral posterior nucleus of thalamus","Basal Ganglia Diseases","1"
"Structure of olfactory bulb","Rabies (disorder)","1"
"Nucleus solitarius","Spastic syndrome","1"
"Brodmann area 5","Ataxia as late effect of cerebrovascular disease","1"
"Planum temporale (PT)","Spinal Cord Diseases","1"
"Ventral Posterior Nucleus","Skin endocrine disorder","1"
"Structure of nucleus prepositus","Huntington Disease","1"
"Structure of paraventricular nucleus","Cardiovascular Diseases","1"
"Structure of medial globus pallidus","Alzheimer's Disease","1"
"Hypothalamic structure","Oculorespiratory syndrome","1"
"Thalamic structure","Hodgkin Disease","1"
"Left lateral ventricle structure","Alzheimer's Disease","1"
"Genus Hippocampus","Déjérine-Sottas disease (disorder)","1"
"Tegmentum Mesencephali","Motor Neuron Disease","1"
"Vestibular Nerve","Depressive disorder","1"
"Planum polare (PP)","DISORDERS OF THE OPTIC NERVE","1"
"Interpeduncular nucleus","Recurrent disease","1"
"Structure of suprachiasmatic nucleus","Testicular Diseases","1"
"Structure of limitans nucleus","cortex bone disorders","1"
"Set of basolateral nuclei of amygdala","Sweet Syndrome","1"
"Cerebral hemisphere structure (body structure)","Drug effect disorder","1"
"Basal Ganglia","Autonomic nervous system disorders","1"
"Entire substantia nigra","Niemann-Pick Disease, Type C","1"
"Metencephalon","Mood Disorders","1"
"Brain Stem","Lambert-Eaton Myasthenic Syndrome","1"
"Cortex, Primary Motor","Contact lens overwear syndrome (disorder)","1"
"Entire temporal pole","Panic Disorder","1"
"Thalamic structure","Developmental Coordination Disorder","1"
"Saccular nerve","Liver diseases","1"
"Hypothalamic structure","Hodgkin Disease","1"
"Structure of thalamic reticular nucleus","Rothmund-Thomson syndrome","1"
"Corpus striatum structure","Seasonal Affective Disorder","1"
"Hindbrain","Functional disorder","1"
"Septum Pellucidum","Vasodilation disorder","1"
"Pineal gland","Pancreatic Diseases","1"
"Cerebral hemisphere structure (body structure)","Gilles de la Tourette syndrome","1"
"Temporal lobe gyrus","Autistic Disorder","1"
"Entire occipital pole","cortex bone disorders","1"
"Thalamic structure","Prune Belly Syndrome","1"
"Structure of thalamic reticular nucleus","Mild cognitive disorder","1"
"Cerebral cortex","Pancreatic Diseases","1"
"Basal Ganglia","Ataxia as late effect of cerebrovascular disease","1"
"Brodmann area 5","cortex bone disorders","1"
"Entire thalamus","Disease Progression","1"
"Tectospinal tract of medulla","neuropathology disease","1"
"Entire internal carotid nerve","Diseases of external ear","1"
"Structure of longitudinal cerebral fissure","Disorder of pineal gland","1"
"Pars Compacta","Lafora Disease","1"
"Internal capsule of brain","DISORDERS OF THE OPTIC NERVE","1"
"Medulla Oblongata","Gilles de la Tourette syndrome","1"
"Structure of diencephalon","Liver diseases","1"
"Corpus callosum splenium","Papillon-Lefevre Disease","1"
"CA2 field","Stress Disorders, Traumatic","1"
"Structure of locus ceruleus","Post-Traumatic Stress Disorder","1"
"Structure of angular gyrus","Bipolar I disorder","1"
"Entire thalamic reticular nucleus","Parkinson Disease","1"
"Right inferior occipitofrontal fasciculus","Bipolar Disorder","1"
"Corpus striatum structure","Deglutition Disorders","1"
"Structure of longitudinal cerebral fissure","Anophthalmia Waardenburg syndrome","1"
"CA1 field","Virus Diseases","1"
"Entire optic radiation","Menkes Kinky Hair Syndrome","1"
"Ventral Tegmental Area","Shwachman syndrome","1"
"BRAIN, HIPPOCAMPUS","Saethre-Chotzen Syndrome","1"
"Nucleus fastigii","Depressive disorder","1"
"Structure of angular gyrus","Skin endocrine disorder","1"
"Cerebrum","Van der Woude syndrome","1"
"Perforant Pathway","Virus Diseases","1"
"Corpus striatum structure","Russell-Silver syndrome","1"
"Medial nucleus of habenula","Mood Disorders","1"
"Pyramidal Cells","Learning Disorders","1"
"Lateral habenular nucleus","Dyskinetic syndrome","1"
"Right inferior longitudinal fasciculus","Autistic Disorder","1"
"Pyramidal Tracts","Neurodegenerative Disorders","1"
"Genus Hippocampus","Stereotypic Movement Disorder","1"
"Fornix, Brain","Amnestic disorder","1"
"Lobe, Frontal","Developmental reading disorder","1"
"Cerebellum","Mannosidase Deficiency Diseases","1"
"Middle frontal gyrus structure","Moyamoya Disease","1"
"Genus Hippocampus","Immunologic Deficiency Syndromes","1"
"Basal Ganglia","Hemolytic-Uremic Syndrome","1"
"Entire olfactory bulb","cortex bone disorders","1"
"Parietal Lobe","Posterior reversible encephalopathy syndrome","1"
"Perforant Pathway","Disease Progression","1"
"Marginal Sulcus","DISORDERS OF THE OPTIC NERVE","1"
"Structure of hippocampal formation","Neurodegenerative Disorders","1"
"Hypothalamic Area, Lateral","Binge eating disorder","1"
"BRAIN, HIPPOCAMPUS","Neu-Laxova syndrome","1"
"Midbrain structure","Thoracic Outlet Syndrome","1"
"Cerebral Ventricles","CNS disorder","1"
"Structure of ventral posteromedial nucleus of thalamus","Sensitization (disorder)","1"
"Structure of diencephalon","Fragile X Syndrome","1"
"Motor Cortex","Stiff-Person Syndrome","1"
"Central gray substance of midbrain","Opiate Withdrawal Syndrome","1"
