"brainregion","disease","count"
"Structure of terminal stria nuclei of preoptic region","cortex bone disorders","20"
"Anterodorsal nucleus of thalamus","Huntington Disease","20"
"Parahippocampal Gyrus","cortex bone disorders","19"
"Genus Hippocampus","Hypertensive disease","19"
"Structure of trigeminal nerve spinal tract nucleus","Spinal Cord Diseases","19"
"Structure of nucleus prepositus","Creutzfeldt-Jakob Disease, Sporadic","19"
"Genus Hippocampus","Fetal Alcohol Syndrome","19"
"Cerebellar cortex structure","Spinal Cord Diseases","19"
"Genus Hippocampus","Bipolar Disorder","19"
"Structure of dentate gyrus","Functional disorder","19"
"Motor Cortex","Motor Neuron Disease","19"
"Cerebellum","Down Syndrome","19"
"Brain Stem","Disease Progression","19"
"Anterodorsal nucleus of thalamus","Mesulam Syndrome","19"
"Marginal Sulcus","cortex bone disorders","19"
"Diagonal Band of Broca","cortex bone disorders","19"
"Brain Stem","Hypertensive disease","19"
"Hypothalamic structure","Ovarian Diseases","19"
"Nucleus Accumbens","Spinal Cord Diseases","19"
"Substantia nigra structure","Hypopigmentation disorder","19"
"Pars Compacta","Parkinsonian Disorders","19"
"Motor Cortex","Parkinson Disease","19"
"Lobe, Frontal","Parkinson Disease","19"
"Hypothalamic structure","Alzheimer's Disease","18"
